name,team,games_played,completions,attempts,completion_pct,yards,yards_per_attempt,touchdowns,interceptions,rating,sacked,fumbles,last_updated
Tua Tagovailoa,MIA,17,388,560,69.3,4624,8.3,29,14,101.1,34,4,2025-08-10 18:56:19.677258
Jared Goff,DET,17,407,605,67.3,4575,7.6,30,12,97.9,30,5,2025-08-10 18:56:19.677258
Dak Prescott,DAL,17,410,590,69.5,4516,7.7,36,9,105.9,39,7,2025-08-10 18:56:19.677258
Josh Allen,BUF,17,359,565,63.5,4306,7.6,35,14,92.6,24,5,2025-08-10 18:56:19.677258
Patrick Mahomes,KC,17,362,565,64.1,4183,7.4,31,8,105.2,28,3,2025-08-10 18:56:19.677258
Jalen Hurts,PHI,17,352,538,65.4,3858,7.2,23,15,89.1,38,8,2025-08-10 18:56:19.677258
Lamar Jackson,BAL,16,307,457,67.2,3678,8.0,24,7,102.7,19,6,2025-08-10 18:56:19.677258
Justin Herbert,LAC,13,313,477,65.6,3104,6.5,20,7,93.2,29,4,2025-08-10 18:56:19.677258
Kirk Cousins,MIN,8,216,311,69.5,2331,7.5,18,5,103.8,16,2,2025-08-10 18:56:19.677258
Joe Burrow,CIN,10,244,365,66.8,2309,6.3,15,6,91.0,24,2,2025-08-10 18:56:19.677258
